trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
341,False,"{'a': 0.033, 'e': 0.03304120037588693}",20,12,13.401230990123574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.033, 'e': 0.03271243493901982}",30,12,29.09653415761458,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.033, 'e': 0.03238694077290704}",35,28,13.207242933149892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.033, 'e': 0.03206468532786077}",20,0,1.3542105623405152,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
345,False,"{'a': 0.033, 'e': 0.03174563637806794}",30,0,40.42065976644702,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.033, 'e': 0.03142976201836771}",20,6,20.93436914351216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.033, 'e': 0.03111703066106086}",25,9,17.540281693165863,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.033, 'e': 0.030807411032751076}",20,10,-14.26308182179819,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
349,False,"{'a': 0.033, 'e': 0.030500872171217483}",20,11,20.298916240857892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.033, 'e': 0.0301973834223185}",20,5,27.023797442705252,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.033, 'e': 0.029896914436926308}",35,19,31.558144469803523,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
